id,user,rate,movie
625,124dc59c-3133-45a2-99c6-820543bee419,8,4
624,b4d01943-e7b5-4a59-973d-97a087ab95ec,8,2
623,d4c72276-946f-4776-91f3-afed5d53df48,4,40
622,d4c72276-946f-4776-91f3-afed5d53df48,5,114
621,d4c72276-946f-4776-91f3-afed5d53df48,2,15
620,d4c72276-946f-4776-91f3-afed5d53df48,8,124
619,d4c72276-946f-4776-91f3-afed5d53df48,9,17
618,d4c72276-946f-4776-91f3-afed5d53df48,5,116
617,d4c72276-946f-4776-91f3-afed5d53df48,8,113
616,d4c72276-946f-4776-91f3-afed5d53df48,9,115
615,d4c72276-946f-4776-91f3-afed5d53df48,8,70
614,d4c72276-946f-4776-91f3-afed5d53df48,8,125
611,c8850036-31f8-4063-8a21-5ee4764ccb8b,8,7
609,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,9,36
608,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,9,24
607,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,9,34
606,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,152
605,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,129
604,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,131
603,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,8,30
602,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,8,68
601,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,1
600,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,9,147
599,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,8,51
598,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,9,21
597,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,149
596,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,8,53
595,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,6,10
594,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,6,41
593,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,57
592,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,6,58
591,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,7,106
590,58ed4fc8-ac3e-48b0-a3d1-f2a08b5156ae,9,2
589,2001a046-092e-4cbf-a95d-2360ee0d63a0,7,18
